window_start,events_count,unique_admins,unique_entities,unique_entity_subtypes,unique_ips,unique_user_agents,unique_hostnames,avg_time_between_events_seconds,min_time_between_events_seconds,max_time_between_events_seconds,failure_count,outside_business_hours_count,first_seen_ip_count,first_seen_user_agent_count,rare_action_count,high_risk_action_count,high_risk_sequence_count,uninstall_flag_count,token_flag_count,api_key_flag_count,config_flag_count,action_center_flag_count,permissions_flag_count,authentication_flag_count,failed_admins_nunique,assets_nunique,entity_count__vulnerability_policy,entity_count__public_api,entity_count__alert_management,entity_count__asset_groups,entity_count__rules,subtype_count__vulnerability_policy_risk_score_change,subtype_count__public_api_authentication_failed,subtype_count__alert_management_update_issue,subtype_count__asset_groups_change,subtype_count__rules_import,user_count__palo_alto_networks,user_count__n_a,user_count__imonsalv_bancolombia_com_co,failure_ratio,outside_business_hours_ratio,high_risk_action_ratio,burstiness_index,events_count_rolling_mean,events_count_rolling_std,failure_count_rolling_mean,failure_count_rolling_std,unique_admins_rolling_mean,unique_admins_rolling_std,unique_ips_rolling_mean,unique_ips_rolling_std,high_risk_action_count_rolling_mean,high_risk_action_count_rolling_std,uninstall_flag_count_rolling_mean,uninstall_flag_count_rolling_std,token_flag_count_rolling_mean,token_flag_count_rolling_std,api_key_flag_count_rolling_mean,api_key_flag_count_rolling_std,events_count_delta_from_rolling_mean,events_count_zscore_like,failure_count_delta_from_rolling_mean,failure_count_zscore_like,unique_admins_delta_from_rolling_mean,unique_admins_zscore_like,unique_ips_delta_from_rolling_mean,unique_ips_zscore_like,high_risk_action_count_delta_from_rolling_mean,high_risk_action_count_zscore_like,uninstall_flag_count_delta_from_rolling_mean,uninstall_flag_count_zscore_like,token_flag_count_delta_from_rolling_mean,token_flag_count_zscore_like,api_key_flag_count_delta_from_rolling_mean,api_key_flag_count_zscore_like
2026-04-21 15:15:00+00:00,315,4,5,8,3,3,1,1.643312101910828,0.0,102.0,302,0,3,3,7,302,302,0,0,302,0,0,0,302,1,1,0.0,302.0,2.0,0.0,0.0,0.0,302.0,2.0,0.0,0.0,304.0,1.0,8.0,0.9587301587301588,0.0,0.9587301587301588,191.6860465116279,315.0,,302.0,,4.0,,3.0,,302.0,,0.0,,0.0,,302.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 15:30:00+00:00,1512,5,6,6,4,4,1,0.5532759761747187,0.0,317.0,1504,0,2,2,1,1506,1505,0,0,1504,2,0,0,1505,1,1,0.0,1504.0,0.0,0.0,2.0,0.0,1504.0,0.0,0.0,2.0,1506.0,2.0,1.0,0.9947089947089947,0.0,0.996031746031746,2732.813397129187,913.5,846.4068170802974,903.0,849.9423509862302,4.5,0.7071067811865476,3.5,0.7071067811865476,904.0,851.3565645486033,0.0,0.0,0.0,0.0,903.0,849.9423509862302,598.5,0.7071067811865475,601.0,0.7071067811865475,0.5,0.7071067811865475,0.5,0.7071067811865475,602.0,0.7071067811865475,0.0,0.0,0.0,0.0,601.0,0.7071067811865475
2026-04-21 15:45:00+00:00,7,5,2,3,5,3,0,112.66666666666667,9.0,269.0,0,0,3,3,1,0,0,0,0,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621301775147929,611.3333333333334,795.0574402729235,602.0,795.6154850177314,4.666666666666667,0.5773502691896257,4.0,1.0,602.6666666666666,796.7492286367984,0.0,0.0,0.0,0.0,602.0,795.6154850177314,-604.3333333333334,-0.7601127952791445,-602.0,-0.7566469121532792,0.33333333333333304,0.5773502691896253,1.0,1.0,-602.6666666666666,-0.7564069659631825,0.0,0.0,0.0,0.0,-602.0,-0.7566469121532792
2026-04-21 16:00:00+00:00,285,4,6,6,3,3,0,2.461267605633803,0.0,163.0,0,0,0,0,1,8,6,0,0,0,4,0,4,1,0,1,0.0,0.0,251.0,28.0,3.0,0.0,0.0,251.0,28.0,3.0,280.0,3.0,0.0,0.0,0.0,0.028070175438596492,115.79399141630901,529.75,669.3536061006916,451.5,715.9634534434468,4.5,0.5773502691896257,3.75,0.9574271077563381,454.0,715.2715102206528,0.0,0.0,0.0,0.0,451.5,715.9634534434468,-244.75,-0.36565127575212014,-451.5,-0.6306187806493443,-0.5,-0.8660254037844387,-0.75,-0.7833494518006403,-446.0,-0.6235394442907621,0.0,0.0,0.0,0.0,-451.5,-0.6306187806493443
2026-04-21 16:15:00+00:00,2,1,2,2,1,1,0,308.0,308.0,308.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,451.5,719.2618901809456,376.0,752.0,3.75,1.8929694486000912,3.25,1.707825127659933,378.5,751.6761270653739,0.0,0.0,0.0,0.0,376.0,752.0,-449.5,-0.6249462207526646,-376.0,-0.5,-2.75,-1.4527439954372794,-2.25,-1.3174650984805198,-378.5,-0.5035413343213461,0.0,0.0,0.0,0.0,-376.0,-0.5
2026-04-21 16:30:00+00:00,9,3,4,5,4,4,2,98.125,1.0,449.0,0,0,2,2,4,1,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.1111111111111111,0.09171974522292993,75.75,139.5310598636253,0.0,0.0,3.25,1.707825127659933,3.25,1.707825127659933,2.25,3.8622100754426127,0.0,0.0,0.0,0.0,0.0,0.0,-66.75,-0.47838810989639174,0.0,0.0,-0.25,-0.14638501094227999,0.75,0.43915503282683993,-1.25,-0.3236488889995837,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 16:45:00+00:00,421,4,6,8,3,3,3,2.073809523809524,0.0,165.0,2,0,2,1,3,0,2,0,0,0,0,0,0,1,1,1,405.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,408.0,1.0,11.0,0.004750593824228029,0.0,0.0,203.00803673938,179.25,208.18961709621013,0.5,1.0,3.0,1.4142135623730951,2.75,1.2583057392117916,2.25,3.8622100754426127,0.0,0.0,0.0,0.0,0.0,0.0,241.75,1.161201040531626,1.5,1.5,1.0,0.7071067811865475,0.25,0.1986798535597566,-2.25,-0.5825680001992507,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 17:00:00+00:00,1598,3,6,6,3,3,0,0.4257983719474014,0.0,120.0,0,0,0,0,1,8,5,0,0,0,4,0,4,0,0,1,1562.0,0.0,0.0,28.0,3.0,1562.0,0.0,0.0,28.0,3.0,1591.0,4.0,0.0,0.0,0.0,0.0050062578222778474,3752.95,507.5,752.9287261531908,0.5,1.0,2.75,1.2583057392117916,2.75,1.2583057392117916,2.25,3.8622100754426127,0.0,0.0,0.0,0.0,0.0,0.0,1090.5,1.448344261709211,-0.5,-0.5,0.25,0.1986798535597566,0.25,0.1986798535597566,5.75,1.488784889398085,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 17:15:00+00:00,1,1,1,1,1,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,507.25,753.1526516362181,0.5,1.0,2.75,1.2583057392117916,2.75,1.2583057392117916,2.25,3.8622100754426127,0.0,0.0,0.0,0.0,0.0,0.0,-506.25,-0.6721744906562779,-0.5,-0.5,-1.75,-1.390758974918296,-1.75,-1.390758974918296,-2.25,-0.5825680001992507,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 17:30:00+00:00,6,2,2,2,1,1,0,91.4,50.0,157.0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,0,1,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.6666666666666666,0.06564551422319474,506.5,753.8154062279881,0.5,1.0,2.5,1.2909944487358054,2.0,1.1547005383792515,3.0,3.82970843104933,0.0,0.0,0.0,0.0,0.0,0.0,-500.5,-0.6639556526238282,-0.5,-0.5,-0.5,-0.38729833462074176,-1.0,-0.8660254037844387,1.0,0.2611164839319119,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 17:45:00+00:00,5,2,2,3,1,1,0,144.75,55.0,268.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03454231433506045,402.5,797.0029276399596,0.0,0.0,2.0,0.8164965809277259,1.5,0.9999999999999999,3.0,3.82970843104933,0.0,0.0,0.0,0.0,0.0,0.0,-397.5,-0.49874346280891935,0.0,0.0,0.0,0.0,-0.5,-0.5000000000000001,-3.0,-0.7833494517957358,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-21 18:00:00+00:00,34,3,4,4,2,2,0,26.09090909090909,0.0,312.0,0,0,1,1,0,7,4,0,0,0,3,0,4,1,0,1,0.0,0.0,3.0,28.0,2.0,0.0,0.0,3.0,28.0,2.0,31.0,2.0,0.0,0.0,0.0,0.20588235294117646,1.3031358885017421,11.5,15.154757228889848,0.0,0.0,2.0,0.8164965809277259,1.25,0.5,2.75,3.403429642804009,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1.4846823119744705,0.0,0.0,1.0,1.2247448713915892,0.75,1.5,4.25,1.2487403725197976,0.0,0.0,0.0,0.0,0.0,0.0
